rank,product_code,revenue,records,clients,share_pct,cum_share_pct
49,497034.0,63840.0,1,1,0.37895613374990805,91.14581815317413
50,494843.0,63119.0,1,1,0.3746762563621624,91.5204944095363
51,111927.0,62743.0,1,1,0.3724443092084975,91.8929387187448
52,495716.0,61756.0,2,2,0.36658544793012726,92.25952416667492
53,207005.0,60029.0,1,1,0.35633392470039527,92.61585809137532
54,218889.0,54276.0,1,1,0.32218394604338985,92.93804203741871
55,111896.0,52825.0,1,1,0.3135707670009225,93.25161280441964
56,497253.0,51866.0,1,1,0.3078781145531443,93.55949091897278
57,111946.0,50845.0,1,1,0.3018174282661979,93.86130834723899
58,509165.0,50236.0,1,1,0.2982023862008205,94.15951073343982
59,218986.0,49441.0,1,1,0.2934832426179387,94.45299397605775
60,495715.0,49273.0,2,2,0.2924859896343863,94.74547996569214
61,111855.0,47962.0,2,2,0.28470385474487925,95.03018382043702
62,178667.0,46620.0,1,1,0.27673770293578814,95.30692152337281
63,244501.0,44090.0,1,1,0.26171954788586227,95.56864107125867
64,495721.0,43580.0,2,2,0.25869217275722106,95.82733324401589
65,241122.0,43129.0,1,1,0.25601502337875603,96.08334826739464
66,186959.0,41947.0,1,1,0.24899863631590527,96.33234690371054
67,241123.0,39439.0,1,1,0.2341110739185875,96.56645797762913
68,111890.0,37140.0,1,1,0.22046414172104614,96.78692211935018
69,191629.0,36155.0,1,1,0.21461715250200383,97.00153927185218
70,148533.0,35503.0,1,1,0.21074686116107433,97.21228613301325
71,178669.0,32900.0,1,1,0.1952953759456763,97.40758150895893
72,241125.0,32230.0,1,1,0.19131823607079476,97.59889974502973
73,218991.0,32164.0,1,1,0.1909264581129706,97.7898262031427
74,495722.0,31353.0,1,1,0.1861123380554647,97.97593854119816
75,232305.0,27736.0,1,1,0.16464171876076833,98.14058025995892
76,111947.0,27323.0,2,2,0.16219013850953537,98.30277039846845
77,167352.0,25415.0,1,1,0.15086419391061895,98.45363459237907
78,191628.0,25066.0,1,1,0.14879251955788214,98.60242711193696
79,497032.0,24462.0,1,1,0.14520715764082473,98.74763426957779
80,202041.0,24038.0,1,1,0.14269028106328774,98.89032455064107
81,111943.0,20880.0,1,1,0.12394429938436843,99.01426885002543
82,218993.0,20520.0,1,1,0.1218073287053276,99.13607617873076
83,241129.0,19092.0,1,1,0.11333067834513229,99.2494068570759
84,178743.0,18521.0,1,1,0.10994120540698696,99.35934806248288
85,241008.0,17724.0,1,1,0.10521018976477711,99.46455825224766
86,167351.0,16037.0,1,1,0.0951961077216052,99.55975435996926
87,111889.0,13287.0,1,1,0.07887202614559882,99.63862638611486
88,111864.0,12738.0,1,1,0.07561314586006154,99.71423953197493
89,148532.0,9456.0,1,1,0.05613109650280593,99.77037062847774
90,111879.0,7494.0,1,1,0.04448460630203338,99.81485523477977
91,495718.0,7375.0,1,1,0.043778218772017104,99.85863345355179
92,497030.0,4842.0,1,1,0.02874225563309923,99.8873757091849
93,191626.0,4555.0,1,1,0.027038615119530564,99.91441432430443
94,167346.0,4338.0,1,1,0.025750496682442062,99.94016482098688
95,218988.0,2727.0,1,1,0.016187552893734324,99.95635237388062
96,509369.0,2475.0,1,1,0.014691673418405741,99.97104404729903
97,217825.0,1891.0,1,1,0.011225032094628386,99.98226907939366
98,495717.0,1652.0,1,1,0.00980632100493183,99.99207540039859
99,178668.0,1335.0,1,1,0.007924599601443096,100.00000000000003
